created_at,text,media_type,media_url,views_count,quote_count,like_count,reply_count,retweet_count,content_type,avg_quote_sentiment,sentiment_label,quote_topics,sentiment_score
Sat May 31 22:49:09 +0000 2025,UCL⚽️ https://t.co/p3kb2t7xUl,photo,https://pbs.twimg.com/media/GsT-9VSWUAAztV0.jpg,2646391,123,260013,586,7579,Other,0.0153846153846154,Neutral,['kai'],0.0
Sat Apr 12 18:24:51 +0000 2025,Thank You China &amp; Mongolia🇨🇳🇭🇰🇲🇳 https://t.co/pEGTeb2PCR,photo,https://pbs.twimg.com/media/GoWsjyAXAAAFF9H.jpg,19302940,1136,408309,2679,19615,Challenges / IRL,0.144736842105263,Positive,"['china', 'one', 'mongolia', 'stop', 'war', 'world', 'speed', 'need', 'going', 'foam']",0.3612
Fri Apr 11 13:34:44 +0000 2025,"I opened the wrong door 🚪
@ksi watched the chaos unfold 🤯
Eubank vs Benn — when the game ends, the real battle begins, live from London 🎮🥊

📍Tottenham Hotspur Stadium
🗓️26 April, 2025

Buy PPV on DAZN and SKY
https://t.co/aOsaRxLUjV

@KOFstudio_en https://t.co/Dbv0fJ2QdZ",video,https://pbs.twimg.com/amplify_video_thumb/1910687129774284803/img/e0h9WHVnURrmyCPC.jpg,1601789,145,13654,342,714,Gaming,-0.01734375,Negative,"['watch', 'promo', 'love', 'well', 'snk', 'like', 'level', 'ksi', 'help', 'gonna']",-0.8555
Wed Apr 09 08:19:14 +0000 2025,One Way Out 🕳️ https://t.co/OySSuzwHyY,video,https://pbs.twimg.com/amplify_video_thumb/1909883463831805952/img/jKldKXSuzeKxIykl.jpg,8618646,695,242039,1634,8927,Other,0.129166666666667,Neutral,"['one', 'nigga', 'speed', 'probably', 'internet', 'could', 'ass']",0.0
Sun Mar 30 06:34:40 +0000 2025,climbing  the LOVE LADDER🇨🇳🗻 https://t.co/OVqH7WRSCf,video,https://pbs.twimg.com/amplify_video_thumb/1906232625725087744/img/sIyCKU3-6puEoHAK.jpg,75633090,5876,316934,4361,13489,Challenges / IRL,0.0059876543209876,Positive,"['top', 'make', 'life', 'fortnite']",0.7125
Fri Mar 28 13:07:18 +0000 2025,i learned kung fu🇨🇳🥋 https://t.co/j2Zg4IFKK6,video,https://pbs.twimg.com/amplify_video_thumb/1905607459907276800/img/z0rYiH9NuGKPeQJy.jpg,27481011,3830,504547,5470,30815,Other,0.0764705882352941,Neutral,"['speed', 'one', 'like', 'life', 'ishowspeed', 'anything']",0.0
Thu Mar 20 17:59:04 +0000 2025,"Every Shoe for Every Athlete 

@DICKS https://t.co/19v1G2yeo8",video,https://pbs.twimg.com/amplify_video_thumb/1902781774947647488/img/_JcMp6wssL7Pq6qz.jpg,4862187,369,107251,916,3786,Other,0.0,Neutral,"['nigga', 'name', 'bro']",0.0
Tue Mar 18 16:16:33 +0000 2025,"CHINA HERE I COME!!!! 🇨🇳🇲🇳🇭🇰 

LIVE 2:00PM CST 3/24 https://t.co/PEfOJtx1rR",video,https://pbs.twimg.com/amplify_video_thumb/1902031308370710529/img/DqX2DvLaE2kZFMkc.jpg,13080199,1633,112249,1513,4337,Gaming,-0.0178240740740741,Neutral,"['speed', 'nigga', 'china', 'shit', 'much', 'largest', 'guy', 'funny']",0.0
Sat Mar 08 18:25:50 +0000 2025,2 goals🔥 https://t.co/DlkBLKupAA,photo,https://pbs.twimg.com/media/GlidJfVWMAAgFEa.jpg,6535291,388,287097,2156,10462,Other,-0.111764705882353,Negative,"['trophy', 'kane', 'harry', 'speed', 'goals']",-0.34
Sun Feb 02 03:30:57 +0000 2025,https://t.co/fXGjVHzwSl,photo,https://pbs.twimg.com/media/GiwKQnHXwAA5ANN.jpg,60230026,4719,1022663,10121,41769,Other,0.122055137844612,Neutral,"['isagi', 'likes', 'million', 'royalrumble', 'like', 'got']",0.0
