created_at,text,media_type,media_url,views_count,quote_count,like_count,reply_count,retweet_count,language,translated_text,sentiment_score,sentiment_label,date
2025-05-31 19:47:00+00:00,🚨| WATCH: Speed just met Fabrizio Romano and got him to say “Here we go IShowSpeed to Man United” 😭😭 https://t.co/pQIRlFbSfc,video,https://pbs.twimg.com/amplify_video_thumb/1928900929530523648/img/8qXBKMQ9FXwvxvgT.jpg,1556447,108,60791,114,3364,en,🚨| WATCH: Speed just met Fabrizio Romano and got him to say “Here we go IShowSpeed to Man United” 😭😭 https://t.co/pQIRlFbSfc,-0.7351,Negative,2025-05-31
2025-05-31 22:17:16+00:00,"Khabib & IShowSpeed wtf 
#UCLfinal  🤯 https://t.co/mEPWgDci3i",photo,https://pbs.twimg.com/media/GsT3imJXAAA93Tq.jpg,8768,108,311,4,9,en,"Khabib & IShowSpeed wtf 
#UCLfinal  🤯 https://t.co/mEPWgDci3i",-0.5859,Negative,2025-05-31
2025-05-31 20:46:59+00:00,"ISHOWSPEED CÉLÈBRE ACTUELLEMENT LA VICTOIRE AVEC LES ULTRAS DU PSG 😭

C’EST FOU CE QU’IL SE PASSE, PUTAIN. 

 https://t.co/ZSBrAU5be7",video,https://pbs.twimg.com/amplify_video_thumb/1928915604062277632/img/_H5wGdScNsEma8Uu.jpg,254217,108,10135,36,596,en,"ISHOWSPEED CÉLÈBRE ACTUELLEMENT LA VICTOIRE AVEC LES ULTRAS DU PSG 😭

C’EST FOU CE QU’IL SE PASSE, PUTAIN. 

 https://t.co/ZSBrAU5be7",-0.4767,Negative,2025-05-31
2025-05-30 19:24:33+00:00,IShowSpeed a soulevé le trophée de la Ligue des Champions avant Kylian Mbappé 💀 https://t.co/xspVocCUfa,photo,https://pbs.twimg.com/media/GsOGjCbWcAAa74V.jpg,627652,108,17174,135,909,fr,Ishowspeed raised the trophy of the Champions League before Kylian Mbappé 💀 https://t.co/xSpv occupa,0.5267,Positive,2025-05-30
2025-05-30 19:03:48+00:00,Usain Bolt has offered IShowSpeed private coaching lessons to help him run faster https://t.co/SwyVxInxYz,photo,https://pbs.twimg.com/media/GsOBzI4WIAIV3OT.jpg,12858510,108,83344,260,1697,en,Usain Bolt has offered IShowSpeed private coaching lessons to help him run faster https://t.co/SwyVxInxYz,0.4019,Positive,2025-05-30
2025-05-22 19:15:30+00:00,"iShowSpeed ""One Kiss Is All It Takes"" Rage (2022) https://t.co/m26c0sWkT5",video,https://pbs.twimg.com/amplify_video_thumb/1925568473238806528/img/aHD-terS-V9HA2jW.jpg,1789104,108,65710,68,5583,en,"iShowSpeed ""One Kiss Is All It Takes"" Rage (2022) https://t.co/m26c0sWkT5",-0.2023,Negative,2025-05-22
2025-05-31 22:52:17+00:00,"🇺🇸 ISHOWSPEED x DÉSIRÉ DOUÉ 🇫🇷 

DEUX GÉNIES DANS LEUR DOMAINE. https://t.co/8ZesLFi3hK",photo,https://pbs.twimg.com/media/GsT_rduWoAAAFvh.jpg,89101,108,5989,52,224,de,"🇺🇸 Ishowspeed x desired gifted 🇫🇷 

Two geniuses in their field. https://t.co/8zeslf3hk",0.2732,Positive,2025-05-31
2025-05-30 18:26:42+00:00,"iShowSpeed, American YouTuber,  Stands with  Palestine 🇵🇸 https://t.co/ytpiE7iS3V",video,https://pbs.twimg.com/amplify_video_thumb/1928518336012259329/img/yUBYnpQLo-5qyIdi.jpg,21716,108,4744,25,916,en,"iShowSpeed, American YouTuber,  Stands with  Palestine 🇵🇸 https://t.co/ytpiE7iS3V",0.0,Neutral,2025-05-30
2025-05-30 17:58:24+00:00,IShowSpeed linking up with Dembélé 🇫🇷 before the final is wild 🤯 https://t.co/9xV0cRGFow,photo,https://pbs.twimg.com/media/GsNyiFCX0AAqrnI.jpg,8831,108,66,4,1,en,IShowSpeed linking up with Dembélé 🇫🇷 before the final is wild 🤯 https://t.co/9xV0cRGFow,0.0,Neutral,2025-05-30
2025-05-31 20:02:18+00:00,"IShowSpeed met Fabrizio Romano and got him to say, 

“Here we go — IShowSpeed to Man United!”
 https://t.co/ZEUPFvMoXI",video,https://pbs.twimg.com/amplify_video_thumb/1928900929530523648/img/8qXBKMQ9FXwvxvgT.jpg,1446743,108,28428,66,806,en,"IShowSpeed met Fabrizio Romano and got him to say, 

“Here we go — IShowSpeed to Man United!”
 https://t.co/ZEUPFvMoXI",0.0,Neutral,2025-05-31
2025-05-31 19:26:46+00:00,"🚨 LA RÉACTION D’ISHOWSPEED APRÈS LE MAGNIFIQUE BUT DE DESIRÉ DOUÉ POUR PARIS !!

C’EST LA FOLIE À MUNICH CE SOIR 🎉

 https://t.co/DHNauMzAJr",video,https://pbs.twimg.com/amplify_video_thumb/1928895680153571328/img/pivCzyD9hTko7Mdb.jpg,634637,108,13828,46,598,de,"🚨 Ishowspeed's reaction after the magnificent goal of Desiré Goué for Paris !!

It's madness in Munich tonight 🎉

 https://t.co/dhnaumzajr",0.6467,Positive,2025-05-31
2025-05-31 11:09:24+00:00,Ishowspeed lift a UCL trophy before Arsenal 😭😭 https://t.co/rmvrrcxsZ8,photo,https://pbs.twimg.com/media/GsRey2RWgAA7n2b.jpg,1958,108,84,4,6,en,Ishowspeed lift a UCL trophy before Arsenal 😭😭 https://t.co/rmvrrcxsZ8,-0.7351,Negative,2025-05-31
2025-05-30 19:22:30+00:00,"Achraf Hakimi a accepté de faire la course avec IShowSpeed. 🤣🤣🇲🇦🏃🏻

🎥 (@IShowSpeedHQ) https://t.co/1wh1hxrNpc",video,https://pbs.twimg.com/amplify_video_thumb/1928512544592773120/img/ZtQ6vN6svczTavFp.jpg,655368,108,13960,23,509,en,"Achraf Hakimi a accepté de faire la course avec IShowSpeed. 🤣🤣🇲🇦🏃🏻

🎥 (@IShowSpeedHQ) https://t.co/1wh1hxrNpc",0.4939,Positive,2025-05-30
2025-05-31 19:58:06+00:00,IShowSpeed just met Tom Brady and his entire family at the UEFA Champions League final 🔥 https://t.co/wXC8cfZ1u0,video,https://pbs.twimg.com/amplify_video_thumb/1928901745578516480/img/Nc_vyjdfRuTz0CLd.jpg,1898161,108,45853,123,1131,en,IShowSpeed just met Tom Brady and his entire family at the UEFA Champions League final 🔥 https://t.co/wXC8cfZ1u0,0.25,Positive,2025-05-31
2025-05-30 18:02:19+00:00,"IShowSpeed a proposé au footballeur Ousmane Dembélé de l’affronter dans un sprint 😭 

(Il a rien compris ptdrrr) 

 https://t.co/SzdQCzYorF",video,https://pbs.twimg.com/amplify_video_thumb/1928512099874934786/img/UjkNfeGofwRN7GhG.jpg,1092824,108,16872,76,517,fr,"Ishowspeed offered the footballer Ousmane Dembélé to face him in a sprint 😭 

(He understood nothing ptdrrr) 

 https://t.co/szdqczyorf",-0.4767,Negative,2025-05-30
